Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
0.642,1898,568,86.8,102,0.0130
6792,142984,120536,51118,49528,2376
3934,1326,687,1270,1638,1850
3.7,23.1,9.0,8.7,11.0,0.7
5.0,59.5,35.5,21.3,23.5,1.3
24.6,9.9,10.7,-17.2,16.1,-153.3
24.7,9.9,10.7,17.2,16.1,153.3
228.0,778.5,1432.0,2867.0,4515.0,5906.4
206.7,740.6,1357.6,2732.7,4471.1,4436.8
249.3,816.4,1506.5,3001.4,4558.9,7375.9
687.0,4331,10747,30589,59800,90560
24.1,13.1,9.7,6.8,5.4,4.7
1.8,1.3,2.5,0.8,1.8,17.2
0.094,0.049,0.052,0.047,0.010,0.244
25.2,3.1,26.7,97.8,28.3,119.5
-65,-110,-140,-195,-200,-225
0.01,Unknown,Unknown,Unknown,Unknown,0.00001
2,95,274,28,16,5
No,Yes,Yes,Yes,Yes,No
No,Yes,Yes,Yes,Yes,Unknown
Semi-Major Axis (10^6 km),778.5,1432.05,2867.05,4515.0,5906.35
Semi-Major Axis (10^6 km),778.5,1432.05,2867.05,4515.0,5906.35
Semi-Major Axis (10^6 km),778.5,1432.05,2867.05,4515.0,5906.35
Semi-Major Axis (10^6 km),778.5,1432.05,2867.05,4515.0,5906.35
